index_code,date,close,open,high,low,SP500,gold,WTI_oil,label
eur_usd,10/1/2000,0.84930 ,0.88420 ,0.88600 ,0.82280 ,1429.40000 ,264.90000 ,32.70000 ,0.87240 
eur_usd,11/1/2000,0.87240 ,0.84860 ,0.87980 ,0.83720 ,1314.95000 ,270.10000 ,33.82000 ,0.94240 
eur_usd,12/1/2000,0.94240 ,0.87240 ,0.94270 ,0.87000 ,1320.28000 ,272.00000 ,26.80000 ,0.93650 
eur_usd,1/1/2001,0.93650 ,0.94250 ,0.95970 ,0.91120 ,1366.01000 ,265.60000 ,28.66000 ,0.92340 
eur_usd,2/1/2001,0.92340 ,0.93740 ,0.94480 ,0.90160 ,1239.94000 ,266.80000 ,27.39000 ,0.87780 
eur_usd,3/1/2001,0.87780 ,0.92390 ,0.93840 ,0.87520 ,1160.33000 ,257.90000 ,26.29000 ,0.88810 
eur_usd,4/1/2001,0.88810 ,0.87430 ,0.90930 ,0.86950 ,1249.46000 ,264.00000 ,28.46000 ,0.84590 
eur_usd,5/1/2001,0.84590 ,0.88920 ,0.90100 ,0.84400 ,1255.82000 ,265.30000 ,28.37000 ,0.85000 
eur_usd,6/1/2001,0.85000 ,0.84480 ,0.86750 ,0.84100 ,1224.38000 ,270.60000 ,26.25000 ,0.87620 
eur_usd,7/1/2001,0.87620 ,0.85060 ,0.88240 ,0.83460 ,1211.23000 ,266.20000 ,26.35000 ,0.91240 
eur_usd,8/1/2001,0.91240 ,0.87630 ,0.92420 ,0.87350 ,1133.58000 ,274.40000 ,27.20000 ,0.91170 
eur_usd,9/1/2001,0.91170 ,0.91020 ,0.93360 ,0.88230 ,1040.94000 ,292.40000 ,23.43000 ,0.89980 
eur_usd,10/1/2001,0.89980 ,0.91030 ,0.92460 ,0.88670 ,1059.78000 ,279.50000 ,21.18000 ,0.89650 
eur_usd,11/1/2001,0.89650 ,0.90080 ,0.91230 ,0.87370 ,1139.45000 ,273.90000 ,19.44000 ,0.89090 
eur_usd,12/1/2001,0.89090 ,0.89620 ,0.90870 ,0.87420 ,1148.08000 ,278.70000 ,19.84000 ,0.85850 
eur_usd,1/1/2002,0.85850 ,0.88960 ,0.90690 ,0.85710 ,1130.20000 ,282.10000 ,19.48000 ,0.86860 
eur_usd,2/1/2002,0.86860 ,0.85880 ,0.88030 ,0.85620 ,1106.73000 ,296.70000 ,21.74000 ,0.87180 
eur_usd,3/1/2002,0.87180 ,0.86890 ,0.88710 ,0.86290 ,1147.39000 ,302.60000 ,26.31000 ,0.90020 
eur_usd,4/1/2002,0.90020 ,0.87110 ,0.90470 ,0.87110 ,1076.92000 ,308.90000 ,27.29000 ,0.93390 
eur_usd,5/1/2002,0.93390 ,0.90060 ,0.94210 ,0.89920 ,1067.14000 ,326.50000 ,25.31000 ,0.99180 
eur_usd,6/1/2002,0.99180 ,0.93270 ,0.99920 ,0.93000 ,989.82000 ,313.50000 ,26.86000 ,0.97750 
eur_usd,7/1/2002,0.97750 ,0.99150 ,1.02140 ,0.97150 ,911.62000 ,303.20000 ,27.02000 ,0.98200 
eur_usd,8/1/2002,0.98200 ,0.97640 ,0.99200 ,0.96210 ,916.07000 ,312.40000 ,28.98000 ,0.98680 
eur_usd,9/1/2002,0.98680 ,0.98150 ,0.99930 ,0.96030 ,815.28000 ,323.90000 ,30.45000 ,0.99070 
eur_usd,10/1/2002,0.99070 ,0.98680 ,0.99280 ,0.96870 ,885.76000 ,318.00000 ,27.22000 ,0.99460 
eur_usd,11/1/2002,0.99460 ,0.99090 ,1.01730 ,0.98730 ,936.31000 ,316.80000 ,26.89000 ,1.05010 
eur_usd,12/1/2002,1.05010 ,0.99460 ,1.05070 ,0.98590 ,879.82000 ,347.60000 ,31.20000 ,1.07690 
eur_usd,1/1/2003,1.07690 ,1.04930 ,1.09090 ,1.03340 ,855.70000 ,368.30000 ,33.51000 ,1.07980 
eur_usd,2/1/2003,1.07980 ,1.07870 ,1.09410 ,1.06640 ,841.15000 ,350.20000 ,36.60000 ,1.09240 
eur_usd,3/1/2003,1.09240 ,1.07780 ,1.10870 ,1.05010 ,848.18000 ,335.90000 ,31.04000 ,1.11830 
eur_usd,4/1/2003,1.11830 ,1.09220 ,1.11890 ,1.05600 ,916.92000 ,339.10000 ,25.80000 ,1.17870 
eur_usd,5/1/2003,1.17870 ,1.11830 ,1.19350 ,1.11520 ,963.59000 ,364.50000 ,29.56000 ,1.15110 
eur_usd,6/1/2003,1.15110 ,1.17130 ,1.19340 ,1.13970 ,974.50000 ,346.00000 ,30.19000 ,1.12310 
eur_usd,7/1/2003,1.12310 ,1.15260 ,1.16130 ,1.11130 ,993.32000 ,354.00000 ,30.54000 ,1.09800 
eur_usd,8/1/2003,1.09800 ,1.12300 ,1.14300 ,1.07920 ,1008.01000 ,375.70000 ,31.57000 ,1.16600 
eur_usd,9/1/2003,1.16600 ,1.09860 ,1.17390 ,1.07620 ,995.97000 ,385.40000 ,29.20000 ,1.15840 
eur_usd,10/1/2003,1.15840 ,1.16610 ,1.18620 ,1.15320 ,1050.71000 ,384.50000 ,29.11000 ,1.19940 
eur_usd,11/1/2003,1.19940 ,1.15810 ,1.20170 ,1.13770 ,1058.20000 ,396.80000 ,30.41000 ,1.25880 
eur_usd,12/1/2003,1.25880 ,1.19760 ,1.26490 ,1.19360 ,1111.92000 ,415.70000 ,32.52000 ,1.24690 
eur_usd,1/1/2004,1.24690 ,1.25490 ,1.29010 ,1.23340 ,1131.13000 ,402.20000 ,33.05000 ,1.24900 
eur_usd,2/1/2004,1.24900 ,1.24730 ,1.29300 ,1.23730 ,1144.94000 ,396.40000 ,36.16000 ,1.23150 
eur_usd,3/1/2004,1.23150 ,1.24880 ,1.25430 ,1.20490 ,1126.21000 ,427.30000 ,35.76000 ,1.19820 
eur_usd,4/1/2004,1.19820 ,1.23160 ,1.23920 ,1.17620 ,1107.30000 ,387.00000 ,37.38000 ,1.21860 
eur_usd,5/1/2004,1.21860 ,1.19950 ,1.22980 ,1.17720 ,1120.68000 ,394.00000 ,39.88000 ,1.21870 
eur_usd,6/1/2004,1.21870 ,1.21860 ,1.23530 ,1.19520 ,1140.84000 ,392.60000 ,37.05000 ,1.20200 
eur_usd,7/1/2004,1.20200 ,1.21890 ,1.24640 ,1.19920 ,1101.72000 ,391.00000 ,43.80000 ,1.21880 
